up_date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock
2020-02-20,9799.200195,9820.860352,9636.94043,9750.969727,2735610000,0,0,Nasdaq
2020-02-21,3360.5,3360.76001,3328.449951,3337.75,3899270000,0,0,S&P500
2020-02-21,29146.5293,29146.5293,28892.69922,28992.41016,311210000,0,0,Dow Jones
2020-02-21,9708.009766,9715.950195,9542.330078,9576.589844,2743010000,0,0,Nasdaq
2020-02-24,3257.610107,3259.810059,3214.649902,3225.889893,4842960000,0,0,S&P500
2020-02-24,28402.92969,28402.92969,27912.43945,27960.80078,452580000,0,0,Dow Jones
2020-02-24,9188.44043,9322.879883,9166.009766,9221.280273,3177000000,0,0,Nasdaq
2020-02-25,3238.939941,3246.98999,3118.77002,3128.209961,5591510000,0,0,S&P500
2020-02-25,28037.65039,28149.19922,26997.61914,27081.35938,513270000,0,0,Dow Jones
2020-02-25,9301.200195,9315.259766,8940.490234,8965.610352,3583400000,0,0,Nasdaq
2020-02-26,3139.899902,3182.51001,3108.98999,3116.389893,5478110000,0,0,S&P500
2020-02-26,27159.46094,27542.7793,26890.9707,26957.58984,472450000,0,0,Dow Jones
2020-02-26,9011.549805,9148.320313,8927.799805,8980.780273,3567830000,0,0,Nasdaq
2020-02-27,3062.540039,3097.070068,2977.389893,2978.76001,7058840000,0,0,S&P500
2020-02-27,26526,26775.31055,25752.82031,25766.64063,664980000,0,0,Dow Jones
2020-02-27,8744.030273,8904.110352,8562.049805,8566.480469,4536080000,0,0,Nasdaq
2020-02-28,2916.899902,2959.719971,2855.840088,2954.219971,8563850000,0,0,S&P500
2020-02-28,25270.83008,25494.24023,24681.00977,25409.35938,915990000,0,0,Dow Jones
2020-02-28,8269.740234,8591.820313,8264.160156,8567.370117,5301170000,0,0,Nasdaq
2020-03-02,2974.280029,3090.959961,2945.189941,3090.22998,6376400000,0,0,S&P500
2020-03-02,25590.50977,26706.16992,25391.96094,26703.32031,637200000,0,0,Dow Jones
2020-03-02,8667.139648,8952.80957,8543.349609,8952.169922,4232760000,0,0,Nasdaq
2020-03-03,3096.459961,3136.719971,2976.629883,3003.370117,6355940000,0,0,S&P500
2020-03-03,26762.4707,27084.58984,25706.2793,25917.41016,647080000,0,0,Dow Jones
2020-03-03,8965.099609,9070.320313,8602.889648,8684.089844,4336700000,0,0,Nasdaq
2020-03-04,3045.75,3130.969971,3034.379883,3130.120117,5035480000,0,0,S&P500
2020-03-04,26383.67969,27102.33984,26286.31055,27090.85938,457590000,0,0,Dow Jones
2020-03-04,8834.099609,9019.959961,8757.660156,9018.089844,3602870000,0,0,Nasdaq
2020-03-05,3075.699951,3083.040039,2999.830078,3023.939941,5575550000,0,0,S&P500
2020-03-05,26671.91992,26671.91992,25943.33008,26121.2793,477370000,0,0,Dow Jones
2020-03-05,8790.089844,8921.080078,8677.389648,8738.589844,3748090000,0,0,Nasdaq
2020-03-06,2954.199951,2985.929932,2901.540039,2972.370117,6552140000,0,0,S&P500
2020-03-06,25457.21094,25994.38086,25226.61914,25864.7793,599780000,0,0,Dow Jones
2020-03-06,8469.019531,8612.360352,8375.129883,8575.620117,4279850000,0,0,Nasdaq
2020-03-09,2863.889893,2863.889893,2734.429932,2746.560059,8423050000,0,0,S&P500
2020-03-09,24992.35938,24992.35938,23706.07031,23851.01953,750430000,0,0,Dow Jones
2020-03-09,7957.930176,8243.30957,7943.160156,7950.680176,4530350000,0,0,Nasdaq
2020-03-10,2813.47998,2882.590088,2734,2882.22998,7635960000,0,0,S&P500
2020-03-10,24453,25020.99023,23690.33984,25018.16016,654860000,0,0,Dow Jones
2020-03-10,8219.759766,8347.400391,7930.430176,8344.25,4431930000,0,0,Nasdaq
2020-03-11,2825.600098,2825.600098,2707.219971,2741.379883,7374110000,0,0,S&P500
2020-03-11,24604.63086,24604.63086,23328.32031,23553.2207,663960000,0,0,Dow Jones
2020-03-11,8136.25,8181.359863,7850.950195,7952.049805,4273890000,0,0,Nasdaq
2020-03-12,2630.860107,2660.949951,2478.860107,2480.639893,8829380000,0,0,S&P500
2020-03-12,22184.71094,22837.94922,21154.46094,21200.61914,908260000,0,0,Dow Jones
2020-03-12,7398.580078,7712.330078,7194.669922,7201.799805,5066530000,0,0,Nasdaq
2020-03-13,2569.98999,2711.330078,2492.370117,2711.02002,8258670000,0,0,S&P500
2020-03-13,21973.82031,23189.75977,21285.36914,23185.61914,843080000,0,0,Dow Jones
2020-03-13,7610.390137,7875.930176,7219.089844,7874.879883,4685890000,0,0,Nasdaq
